"Ticker","Nome","Negócios","Última (R$)","Variação"
"PINE11","Banco Pine","100","9,98","-4,95%"
"NORD3","Nordon","100","6,11","+0,00%"
"GSHP3","General Shopping & Outlets","100","4,51","-1,96%"
"PEAB4","Participações Aliança da Bahia","500","45,65","+3,75%"
"ENMT3","Energisa MT","400","65,90","+6,32%"
"RPAD3","Alfa Holdings","300","4,16","+0,73%"
"CTKA3","Karsten","200","34,18","-18,21%"
"AFLT3","Afluente T","100","7,01","+0,14%"
"FRIO3","Metalfrio","200","220,00","-3,08%"
"BRSR5","Banrisul","100","14,64","+1,46%"
"RPAD6","Alfa Holdings","100","4,04","-1,70%"
"BRKM6","Braskem","1.100","8,00","+0,00%"
"CRPG3","Tronox Pigmentos","100","18,50","-4,00%"
"IGTI4","Iguatemi","100","10,00","-6,37%"
"IGTI4","Jereissati Participações","100","10,00","-6,37%"
"FIEI3","Fica","7.000","11,97","+0,00%"
"TKNO4","Tekno","100","82,00","+0,00%"
"MRSA3B","MRS Logística","100","28,80","+9,51%"
"USIM6","Usiminas","100","8,00","+0,00%"
"CLSC3","Celesc","200","90,22","+0,12%"
"MTSA3","Metisa","100","76,00","+1,33%"
"AHEB5","São Paulo Turismo","100","58,00","+0,00%"
"PSVM11","PORTO VM","400","5,70","+0,00%"
"SOND6","Sondotécnica","100","37,85","-19,11%"
"EKTR3","Elektro","100","35,01","+0,03%"
